679	688	698	922	907	951	1009	999	1219	1242	1258	531	385	1021	386	526
1399	1407	1418	1628	1610	1657	1706	1718	1940	1949	1958	529	401	1022	380	542
2100	2108	2119	2331	2312	2359	2407	2417	2640	2647	2657	530	400	1010	389	535
2757	2768	2778	2980	2965	3008	3069	3060	3259	3269	3278	534	380	998	402	531
3439	3448	3457	3660	3645	3688	3750	3738	3958	3978	3998	527	386	1022	370	548
4119	4128	4137	4324	4308	4352	4408	4400	4618	4641	4658	535	393	1022	374	543
4699	4708	4718	4991	4972	5018	5066	5076	5299	5304	5318	535	394	1022	371	550
5379	5387	5397	5665	5649	5693	5747	5738	5979	5983	5998	536	403	1022	378	540
6078	6087	6097	6349	6331	6377	6426	6436	6637	6659	6678	536	399	1022	379	531
6758	6767	6776	7027	7010	7055	7107	7099	7318	7341	7357	534	402	1022	386	525
7458	7467	7476	7691	7673	7719	7767	7776	7978	7999	8017	532	400	994	392	520
8039	8047	8056	8330	8312	8358	nan	8416	nan	nan	nan	528	403	985	395	522
8758	8767	8777	8953	8935	8980	9047	9036	9238	9253	9276	531	394	992	394	529
9378	9386	9396	9569	9551	9597	9646	9656	9858	9883	9897	527	398	1022	390	539
9918	9927	9936	10192	10174	10220	10267	10276	10498	10506	10517	533	398	1020	384	539
10558	10566	10576	10846	10830	10875	10927	10935	11158	11167	11177	532	400	1014	389	533
11258	11267	11276	11536	11521	11565	11628	11617	11838	11849	11856	531	386	1007	389	537
11978	11987	11996	12256	12240	12284	12348	12336	12558	12571	12576	529	389	1022	378	542
12758	12767	12777	13034	13017	13063	13129	13117	13358	13365	13377	527	393	1017	384	532
13665	13691	13696	13797	13781	13825	13888	13878	14098	14114	14137	556	368	1016	373	547
14299	14307	14317	14583	14568	14613	14668	14659	14878	14902	14917	527	392	1022	369	547
15059	15067	15077	15349	15331	15377	15427	15421	15658	15667	15677	534	397	1022	378	540
15839	15847	15857	16121	16106	16149	16209	16198	16439	16444	16457	529	386	1022	375	531
16619	16627	16637	16902	16887	16931	16989	16978	17198	17221	17237	527	387	1022	379	534
17399	17407	17419	17644	17629	17673	17752	17721	17939	17952	17958	527	388	1021	389	535
18118	18126	18137	18380	18366	18409	18470	18460	18677	18699	18718	527	384	1022	372	535
18838	18847	18858	19104	19088	19133	19189	19180	19419	19426	19436	533	391	1022	381	534
19537	19547	19557	19801	19786	19830	19889	19880	20100	20108	20118	532	381	1018	392	531
20240	20249	20258	20500	20485	20529	20590	20579	20800	20821	20839	530	388	1022	371	541
20960	20968	20978	21163	21148	21193	21249	21240	21480	21485	21499	535	392	1022	374	536
21599	21609	21618	21806	21790	21836	21890	21880	22120	22124	22138	535	403	1022	376	529
22240	22249	22259	22458	22443	22487	22550	22539	22760	22779	22799	532	392	1022	379	526
22900	22908	22918	23158	23141	23186	23250	23237	23459	23477	23498	533	395	1019	377	528
23661	23668	23679	23937	23921	23966	24030	24018	24240	24255	24279	524	397	981	392	535
24461	24468	24479	24740	24725	24769	nan	24820	nan	nan	nan	521	387	1016	391	540
25221	25229	25239	25500	25485	25529	25591	25580	25800	25814	25819	530	380	1022	384	528
26002	26009	26019	26275	26257	26303	26371	26359	26581	26592	26599	525	394	1022	380	531
26782	26790	26799	27060	27046	27089	27152	27140	27361	27382	27400	525	386	1022	379	527
27561	27570	27580	27846	27832	27876	27931	27922	28162	28176	28180	527	393	1017	388	534
28342	28350	28360	28628	28613	28658	28709	28719	28922	28946	28961	526	396	1009	392	537
29102	29110	29120	29391	29374	29420	29470	29480	29682	29707	29720	528	398	1017	385	526
29883	29890	29901	30163	30149	30193	30253	30242	30483	30490	30501	525	390	1022	382	526
30703	30712	30721	30980	30965	31009	31073	31061	31283	31302	31322	522	388	1022	380	540
31720	31731	31740	31824	31810	31854	nan	31903	nan	nan	nan	519	388	1022	381	540
32363	32371	32381	32646	32631	32675	32732	32724	32943	32960	32981	521	392	1016	390	529
